feature,aim1_effect_coding_minus_other,aim2_effect_sweep_minus_control,in_top200_both
723,0.0,0.0,False
724,0.0,0.0,False
725,1.3317195e-06,-6.9666567e-06,False
726,-2.571207e-09,4.9388348e-08,False
727,0.0,0.0,False
728,7.251672e-06,-4.8274764e-05,False
729,0.0,0.0,False
730,1.9428867e-07,-2.8403167e-07,False
731,0.0,0.0,False
732,0.0,0.0,False
733,0.0,3.9284107e-08,False
734,0.0,2.6638514e-07,False
735,0.0,0.0,False
736,0.0,0.0,False
737,0.0,0.0,False
738,0.0,0.0,False
739,0.0,0.0,False
740,0.0,0.0,False
741,0.0,0.0,False
742,0.0,0.0,False
743,-1.1641055e-07,-1.2802248e-06,False
744,2.072216e-05,-6.3272426e-05,False
745,0.0,0.0,False
746,0.0,0.0,False
747,0.0,0.0,False
748,0.0,0.0,False
749,-1.2483116e-07,1.1288166e-06,False
750,6.9140935e-07,-1.8494136e-06,False
751,1.4300438e-08,0.0,False
752,3.3601681e-09,4.4938105e-08,False
753,1.643008e-05,5.9671875e-05,False
754,0.0,0.0,False
755,0.0,0.0,False
756,8.785046e-09,-1.6451472e-07,False
757,0.0,0.0,False
758,1.2905263e-06,-4.3841364e-06,False
759,0.0,0.0,False
760,0.0,0.0,False
761,0.0,0.0,False
762,3.21018e-05,0.000109237386,False
763,-4.7177252e-07,-6.6053826e-07,False
764,0.0,0.0,False
765,-4.751479e-08,-3.8670796e-06,False
766,-1.4507918e-07,2.617732e-05,False
767,0.0,0.0,False
768,0.0001396492,-0.0005118757,False
769,0.0,0.0,False
770,0.0,0.0,False
771,-1.6541873e-05,9.455491e-05,False
772,1.6304729e-07,-1.0742498e-07,False
773,0.0,0.0,False
774,-7.003258e-08,0.0,False
775,-4.794849e-08,1.4751926e-07,False
776,0.0,0.0,False
777,0.0,0.0,False
778,-1.9199338e-07,-2.516628e-06,False
779,0.0,0.0,False
780,5.1024385e-06,-4.565947e-05,False
781,0.0,0.0,False
782,0.0,0.0,False
783,-3.5445463e-08,2.1564792e-07,False
784,-3.126072e-07,2.9724024e-06,False
785,3.4239793e-06,-2.5572735e-05,False
786,-4.5338302e-07,2.9776606e-06,False
787,0.0,0.0,False
788,-1.3328045e-07,5.575133e-07,False
789,0.0,0.0,False
790,0.0,0.0,False
791,3.4791753e-06,-2.2890436e-06,False
792,-4.6378847e-07,1.5610549e-06,False
793,-5.9163525e-05,0.0005088588,False
794,0.0,0.0,False
795,2.7179524e-06,-2.200819e-06,False
796,0.0,0.0,False
797,0.0,-1.9508435e-07,False
798,0.00043496548,-0.0012520794,False
799,0.0,0.0,False
800,0.0,0.0,False
801,0.0,0.0,False
802,0.0,0.0,False
803,-6.60889e-07,-1.2221635e-06,False
804,0.0,0.0,False
805,0.0,0.0,False
806,0.0,0.0,False
807,0.0,0.0,False
808,0.0,0.0,False
809,-1.8136275e-07,-7.766733e-07,False
810,0.0,0.0,False
811,5.829708e-08,-7.4233765e-07,False
812,0.0,0.0,False
813,0.0,0.0,False
814,0.0,0.0,False
815,0.0,0.0,False
816,0.0,0.0,False
817,-6.320077e-07,7.848766e-08,False
818,1.0197693e-05,3.9817533e-05,False
819,0.0,0.0,False
820,0.0,0.0,False
821,1.85425e-08,0.0,False
822,0.0,0.0,False
823,0.0,0.0,False
824,6.221083e-06,-6.4702705e-05,False
825,0.00034036898,-0.0029099323,True
826,0.0,-2.405151e-07,False
827,0.0,0.0,False
828,0.0,0.0,False
829,0.0,0.0,False
830,0.0,0.0,False
831,-2.9274026e-06,7.196208e-06,False
832,1.816322e-07,2.1040905e-06,False
833,0.0,0.0,False
834,8.534309e-06,-4.3319902e-05,False
835,5.2574432e-08,9.656847e-08,False
836,-8.9879774e-07,2.746613e-06,False
837,8.292065e-08,-1.5951229e-06,False
838,0.0,0.0,False
839,9.403654e-07,-2.374747e-06,False
840,-5.9546835e-07,-1.0306338e-05,False
841,3.8764165e-07,-2.4931146e-06,False
842,-1.9283455e-06,3.8630114e-06,False
843,-4.4040718e-09,0.0,False
844,-2.5398815e-08,-2.3341809e-06,False
845,3.393656e-08,-3.4914347e-06,False
