feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f11275	0.20431611609670747	2.8925109167175833e-05	0.0001301545842651	0.0247959617279149	up
f21101	0.21418054959778784	5.071377414424205e-06	0.0001286715099562	0.0247959617279149	up
f26978	0.16132850280883046	2.567039970017504e-06	0.0001311744773606	0.0248458108332653	up
f32551	0.44488739282861833	4.44863053780864e-06	0.0001329688829984	0.0249668001561995	up
f19684	0.15061957183956973	1.1386924228645512e-05	0.0001339981158099	0.0249668001561995	up
f14466	0.320778507357081	3.6033216274518058e-06	0.0001342649386846	0.0249668001561995	up
f9463	0.35188329695288717	0.0002862642771797	0.0001348609505507	0.0249668001561995	up
f31643	0.1112970250498565	1.2065220180375037e-06	0.0001361730969346	0.0250680901143433	up
f25250	0.14826295482151847	1.1695882021740549e-06	0.0001375921888317	0.0251878259421188	up
f21116	0.1904136040555856	1.8497625351301392e-06	0.0001412318646736	0.025710476342365	up
f30235	0.0335873911609414	4.011247545349761e-06	0.0001437752426945	0.0259201045364889	up
f22013	0.19107648608866912	2.4357810121728108e-05	0.0001459329717455	0.0259201045364889	up
f21514	0.13863571921651366	1.8747892827377656e-06	0.000146338480812	0.0259201045364889	up
f14433	0.16936186956938087	7.332263130592765e-06	0.0001452943606858	0.0259201045364889	up
f1578	0.16100494086211153	2.0234407838870538e-06	0.0001447165951097	0.0259201045364889	up
f10179	0.17848496545404388	4.122466296394123e-06	0.0001479240297444	0.0259207198217472	up
f28901	0.2174550807206161	3.828839417474228e-05	0.0001478233698054	0.0259207198217472	up
f13156	0.10953964184176027	4.986276160707348e-06	0.0001500791096428	0.0261584694935006	up
f9670	0.22459163455007397	3.688562055685907e-05	0.000150883629482	0.0261595490522035	up
f8467	0.05194605087864654	1.792545881471597e-07	0.0001519033030009	0.0261977233301836	up
f28078	0.27665943875364035	0.0007501586900907	0.0001528594665506	0.0262246020938753	up
f16215	0.3179761239480286	2.32855350986938e-06	0.00015550645236	0.0265397678694543	up
f17047	0.2667338946920026	5.6459075931343245e-06	0.0001666621975317	0.0282963051228961	up
f21851	0.04665332312200327	1.7903642528835917e-06	0.0001686305934129	0.0284829241492485	up
f6536	0.25839521064922966	6.001192784242448e-05	0.0001696383236396	0.0285061978924261	up
f10052	0.19142551028375535	1.2795327194908168e-05	0.000172204965146	0.0286974469505263	up
f13597	0.303907576186808	7.212183910451132e-05	0.0001725279861222	0.0286974469505263	up
f31749	0.26055301790458874	7.196105492766947e-05	0.0001796884250559	0.0290130480925556	up
f32353	0.23123029771798306	1.4871927996864544e-05	0.000178488180014	0.0290130480925556	up
f30399	0.2229425790185406	9.242442687536824e-06	0.0001776269803461	0.0290130480925556	up
f16606	0.3729383625464929	3.4110098858946004e-06	0.0001780860925253	0.0290130480925556	up
f7406	0.28645745930672717	1.3409067598331604e-05	0.0001797378162472	0.0290130480925556	up
f236	0.38477510518284386	3.5945053856266894e-05	0.0001772832357699	0.0290130480925556	up
