feature	feature_idx	inv_vs_indel_mean_diff_raw	inv_vs_indel_cohen_d	p	q
f22607	22607	0.0002055999080403126	0.49774229435701056	1.4562166102039042e-19	2.2722526611029303e-17
f20737	20737	-0.00014393509484632107	-0.4979372196037251	1.475248990387211e-19	2.29104070696721e-17
f11408	11408	-2.391761745717044e-05	-0.49606870539988246	1.6466287389465437e-19	2.5451287980094503e-17
f17563	17563	-0.00017370308907110093	-0.4961547572598117	1.742524049443598e-19	2.6807055423552965e-17
f23452	23452	-0.00019166411788838948	-0.496271791650024	1.8835317458137556e-19	2.8840919741507074e-17
f27838	27838	9.085562057927227e-05	0.4948191223466337	2.152405195501596e-19	3.280465741683549e-17
f23839	23839	-0.00011243508611317208	-0.49452370132020085	2.545353263820276e-19	3.8613951735584634e-17
f32039	32039	0.00012066090177021189	0.4942473082807356	2.5954386101954483e-19	3.919231906861035e-17
f10252	10252	-0.00011726886476545978	-0.49329831089195897	2.6724683205734373e-19	4.017038620575706e-17
f8458	8458	0.0007403269678408313	0.4924186766930711	3.2548171551711506e-19	4.8700387461483225e-17
f29619	29619	-0.00017418320229418377	-0.4924764693653905	3.4115866996308865e-19	5.081403316977495e-17
f29074	29074	-6.046496948069294e-05	-0.49225909936416123	3.5636718206898283e-19	5.2839094217359407e-17
f24030	24030	0.00014971978741284278	0.49162204168982343	3.8416179768545365e-19	5.670366570521147e-17
f17867	17867	5.1986804493416064e-05	0.49090934105900186	3.8872727911221643e-19	5.712024879797806e-17
f32732	32732	0.00011686894198776697	0.4916720024571515	3.907533869723079e-19	5.716163832280618e-17
f6732	6732	8.730030689288729e-05	0.4911991720426906	4.002388961972812e-19	5.828901400263338e-17
f21300	21300	9.189867366720657e-05	0.4911005805238535	4.20085978409131e-19	6.090874929429383e-17
f9414	9414	-0.00019719499811929252	-0.4911022689591777	4.339339070130201e-19	6.263941085904248e-17
f9761	9761	0.00015132432619533836	0.49053983017948755	4.378258095182306e-19	6.292401809777799e-17
f10625	10625	0.0037014684826135636	0.4905185698636021	4.402062484507907e-19	6.298986178705463e-17
f19296	19296	-0.006110997975005635	-0.49085190968883285	4.434060368168851e-19	6.317186528006822e-17
f22034	22034	-0.00012396601570539392	-0.4906936618682856	4.52249272632674e-19	6.415283188583317e-17
f609	609	0.0001675695926418744	0.4903267207803541	4.608362971647684e-19	6.480980165448554e-17
f5500	5500	-0.00012140367698261148	-0.49056485693501817	4.592984609894155e-19	6.480980165448554e-17
f2365	2365	0.00014462879113645095	0.4903413467582853	4.780143824480309e-19	6.693835591477383e-17
f475	475	0.00013215090058370802	0.4898753940221545	5.003343255834372e-19	6.976576672645987e-17
f31578	31578	7.110195402284652e-05	0.48957964351038435	5.240652030574516e-19	7.276512107536684e-17
f26002	26002	-0.0014646263164364167	-0.4885497257336944	5.642427100819943e-19	7.80131017888894e-17
f23993	23993	-0.0001106204284354005	-0.48911494743411205	5.704415659607967e-19	7.853877829161088e-17
f30845	30845	0.00016318769538234588	0.4885454309043154	6.090130561108097e-19	8.349849298175319e-17
f27299	27299	-0.0001864576967324995	-0.4882266985186814	6.530357500752075e-19	8.916114774360166e-17
f6160	6160	-3.029303068095552e-05	-0.48785876335699174	7.069541819360513e-19	9.612230138456651e-17
f30054	30054	-0.00017618422520172315	-0.48748321595761795	7.312556054188904e-19	9.901563503457108e-17
f9847	9847	3.418143204856148e-05	0.48603053367525045	8.79965244687188e-19	1.1866132155518425e-16
f15502	15502	0.00026542146218292014	0.48340990475891604	8.852103535950675e-19	1.188793969942753e-16
f29297	29297	2.4897233322138034e-05	0.4849411310339437	9.167484176060591e-19	1.2261229448210344e-16
f26455	26455	0.00018092075046297396	0.4854237646418711	1.0132385277317994e-18	1.349666669785187e-16
f13745	13745	-0.00011820943776651152	-0.48466259796071953	1.1180140758473878e-18	1.4832018314723563e-16
f12979	12979	-0.00017475962767743374	-0.4843668958986437	1.1961630585318075e-18	1.580478673466543e-16
f16359	16359	-0.00015859286715567576	-0.4841170625097315	1.2714152952861791e-18	1.6731621042545188e-16
f2099	2099	-0.00012311915467372664	-0.48389907982025737	1.288541017912274e-18	1.6889164829979757e-16
f29450	29450	2.9142202542321426e-05	0.483892488941667	1.3479537657307977e-18	1.757947126027737e-16
f28506	28506	-8.634587107735569e-05	-0.4830231230033614	1.3519368767059011e-18	1.757947126027737e-16
f22012	22012	0.00014169207226846732	0.48286848991348696	1.4383099089943707e-18	1.855533035351478e-16
f98	98	-0.00018153158541930938	-0.48328580634499246	1.4333045210532942e-18	1.855533035351478e-16
f11887	11887	0.002402444267312863	0.48186828040772384	1.5629812579245246e-18	2.008461563124346e-16
f19723	19723	1.3425164392434194e-05	0.48009958171373646	2.1777795510643123e-18	2.7875578253623197e-16
f12289	12289	0.0001256010646154339	0.48014663847149286	2.2811763271151e-18	2.897270770810372e-16
f6248	6248	-0.0001269624507559846	-0.480043118078489	2.278135903493927e-18	2.897270770810372e-16
f10900	10900	-0.00010478576838067966	-0.4797660309425573	2.3026591314581675e-18	2.913263877205453e-16
f26427	26427	3.098535268561266e-05	0.4789713926637025	2.3368847411845926e-18	2.945193815351413e-16
f9167	9167	-9.329797296231846e-05	-0.4797154775820351	2.423336992579594e-18	3.0424485276953307e-16
f24218	24218	0.0001301625331377311	0.47876582341831336	2.816656933204738e-18	3.5227562743226276e-16
f26978	26978	3.81613562759802e-05	0.4780139957695696	3.1010903418292416e-18	3.8637463239946994e-16
f27831	27831	0.00010507949045339566	0.4764463996520857	3.3417365162637843e-18	4.147803869883776e-16
f3106	3106	2.305261057699681e-05	0.47681702998467473	3.4387048504159466e-18	4.252055869374707e-16
f15071	15071	0.006881226409708948	0.47753617707278406	3.527182283903686e-18	4.3450642510885707e-16
f17467	17467	-3.484580696749617e-05	-0.47441687070432503	3.571843963728741e-18	4.3836023596802763e-16
f13661	13661	-0.00010502725729955793	-0.4764168156057276	3.8356631664061126e-18	4.689813829731175e-16
f17195	17195	-5.403541788837174e-05	-0.47570649395291925	4.017788613826687e-18	4.894234100292673e-16
f5539	5539	0.00016490752733911256	0.47557349691156275	4.5714951701212454e-18	5.548101990167888e-16
f24625	24625	9.139330099320171e-05	0.4752492109068566	4.75269826201847e-18	5.74673124169082e-16
f26440	26440	1.8723619437618512e-05	0.47484375501044523	5.288252998484829e-18	6.370789494645252e-16
f5160	5160	4.070097556125672e-05	0.47414897394626093	5.630976384186956e-18	6.7588217639940725e-16
f7739	7739	-8.919750961337871e-05	-0.47383944789011767	5.977017363493259e-18	7.147989232370333e-16
