feature	feature_idx	spearman_af	p	q
f27466	27466	-0.19994415269607646	9.579337174019598e-08	1.7749021840256456e-05
f26897	26897	-0.19978777590434055	9.806700329721467e-08	1.8053143618219833e-05
f30947	30947	-0.19944270230251984	1.0327008527091526e-07	1.8904771810934923e-05
f28485	28485	-0.19939105911230973	1.0407135359003415e-07	1.8945611746879108e-05
f24755	24755	0.19875124521199153	1.1451009931242659e-07	2.0730756542925938e-05
f22148	22148	-0.19860219328792386	1.1708333163880215e-07	2.085101419097972e-05
f7573	7573	-0.19862650137941398	1.166598999019588e-07	2.085101419097972e-05
f3571	3571	-0.19867119501602962	1.1588522011825625e-07	2.085101419097972e-05
f20752	20752	0.19850554799036166	1.1878155817048854e-07	2.1039103233138207e-05
f27228	27228	0.19835593019100736	1.2145760375104873e-07	2.1397434192012712e-05
f29690	29690	-0.19805844121878213	1.2695243714849097e-07	2.224586877262969e-05
f2659	2659	0.19800875694428507	1.278932251765755e-07	2.229151703503205e-05
f16997	16997	0.1979510729746189	1.2899393401775987e-07	2.236440862377754e-05
f16429	16429	0.19790338026245138	1.2991089351315055e-07	2.236993890508444e-05
f175	175	-0.19787852899679992	1.3039118441379174e-07	2.236993890508444e-05
f7	7	0.19779505876892964	1.3201696132496353e-07	2.250294602774956e-05
f14732	14732	-0.19773359157265932	1.3322667020823408e-07	2.250294602774956e-05
f35	35	-0.19776229332734915	1.3266047785318318e-07	2.250294602774956e-05
f16636	16636	-0.1975802861323971	1.3629061355348766e-07	2.2902414486772736e-05
f30457	30457	-0.19721338405636166	1.4390216471859125e-07	2.405809251785101e-05
f16606	16606	0.19714265015857704	1.454160114903635e-07	2.4187775962011325e-05
f16917	16917	-0.19687514327731812	1.5128138187489172e-07	2.478594160638226e-05
f7195	7195	-0.1968826144439554	1.5111451279253304e-07	2.478594160638226e-05
f11316	11316	-0.19689731063461802	1.5078679043031576e-07	2.478594160638226e-05
f30968	30968	-0.1967737233066531	1.5356427077469513e-07	2.5034796143010995e-05
f10386	10386	-0.1967252657485572	1.5466671630345508e-07	2.5089697820948595e-05
f23953	23953	-0.1965095936127807	1.596667461880824e-07	2.5773201670399427e-05
f8024	8024	-0.196258159167924	1.656928756437438e-07	2.661482426026567e-05
f4839	4839	-0.1959738194506512	1.7277208902508222e-07	2.761656494231168e-05
f23991	23991	0.19591276238137148	1.7432984116362454e-07	2.7730292404124507e-05
f16736	16736	-0.19581768195111623	1.76782644893397e-07	2.7984607284380835e-05
f1789	1789	0.19575256862164245	1.784815535380733e-07	2.7986517348937442e-05
f21509	21509	0.1957517553437191	1.7850287249535906e-07	2.7986517348937442e-05
f18775	18775	0.19528243869221099	1.9122392922037786e-07	2.969680432556086e-05
f10454	10454	-0.19530956730575905	1.9046537638403944e-07	2.969680432556086e-05
f22974	22974	0.19521681972504	1.9307079182235563e-07	2.9842187294504477e-05
f6740	6740	0.19512237163692886	1.9575928844795066e-07	3.0012565879768303e-05
f5184	5184	-0.1950819526919875	1.969208271530208e-07	3.0012565879768303e-05
f29450	29450	-0.195102627171243	1.9632586670601736e-07	3.0012565879768303e-05
f16023	16023	-0.1950450785022611	1.9798629452446913e-07	3.003525416193428e-05
f8651	8651	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
f19180	19180	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
